,date,tic,Unnamed: 0,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2010/7/1,AFL,0,26.42499924,26.48500061,26.22500038,20.35268593,5633200,0,-0.001814683,20.5075133,20.27874158,0,-66.66666667,100,20.39312744,20.39312744
1,2010/7/1,AMZN,1,13.13899994,13.23400021,12.95349979,12.9989996,74472000,0,-0.005631419,13.47946797,12.76953163,0,-66.66666667,100,13.1244998,13.1244998
2,2010/7/1,AZO,2,373.4899902,373.9899902,365.5100098,367.0499878,401700,0,-0.175673461,382.0383127,359.89168,0,-66.66666667,100,370.9649964,370.9649964
3,2010/7/1,C,3,42.36999893,42.90000153,42.16999817,33.46564102,25691500,0,-0.014408002,34.69492066,32.87854659,0,-66.66666667,100,33.78673363,33.78673363
4,2010/7/1,CMCSA,4,19.22500038,19.25499916,18.90500069,15.36917973,32342600,0,-0.003701815,15.68501576,15.21833889,0,-66.66666667,100,15.45167733,15.45167733
5,2010/7/1,COP,5,58.47000122,58.47999954,58,40.12423706,7313100,0,-0.012255424,41.16986045,39.62485543,0,-66.66666667,100,40.39735794,40.39735794
6,2010/7/1,F,6,12.93999958,13,12.85999966,7.81284523,32702200,0,-0.00190534,7.975407413,7.735206791,0,-66.66666667,100,7.855307102,7.855307102
7,2010/7/1,GE,7,134.570343,135.0507355,133.7897034,108.4513474,5967869,0,-0.033809269,111.3359283,107.0736939,0,-66.66666667,100,109.2048111,109.2048111
8,2010/7/1,GM,8,27.88999939,28.20000076,27.87999916,21.34574318,6508900,0,-0.003596972,21.65263409,21.19917446,0,-66.66666667,100,21.42590428,21.42590428
9,2010/7/1,GOOGL,9,19.21146011,19.28103065,18.97572517,18.99449348,121498380,0,-0.009308992,19.78872957,18.61517248,0,-66.66666667,100,19.20195103,19.20195103
10,2010/7/1,LLY,10,53.84000015,53.88000107,53.47000122,41.63803864,4968900,0,-0.011339139,42.60548526,41.17599363,0,-66.66666667,100,41.89073944,41.89073944
11,2010/7/1,LOW,11,38.29000092,38.81000137,37.91999817,31.40581131,8536400,0,-0.011514762,32.38824193,30.93661006,0,-66.66666667,100,31.662426,31.662426
12,2010/7/1,MDT,12,46.56000137,46.75,46.22999954,36.38493729,3630600,0,-0.011825354,37.39386738,35.9030801,0,-66.66666667,100,36.64847374,36.64847374
13,2010/7/1,MSI,13,58.5,59.13999939,58.5,48.37988281,1808600,0,-0.003329045,48.66391435,48.24423155,0,-66.66666667,100,48.45407295,48.45407295
14,2010/7/1,NOC,14,64.68000031,65.20999908,64.34999847,53.18165207,1820900,0,-0.013899962,54.36758618,52.61525913,0,-66.66666667,100,53.49142266,53.49142266
