date,dji
2022-06-28,845891.5039065107
2022-06-29,848141.611345564
2022-06-30,841202.142908622
2022-07-01,849998.905589767
2022-07-05,846460.8641569972
2022-07-06,848370.369777194
2022-07-07,857851.5926338184
2022-07-08,856583.304638431
2022-07-11,852092.1119715134
2022-07-12,846830.1341853718
2022-07-13,841129.965219109
2022-07-14,837231.6759691536
2022-07-15,855219.6161022446
2022-07-18,849325.1225872926
2022-07-19,869946.694213773
2022-07-20,871252.9395591929
2022-07-21,875682.6317096023
2022-07-22,871921.2238175699
2022-07-25,874401.744650069
2022-07-26,868156.0255291206
2022-07-27,880074.8469827644
2022-07-28,889150.7109662574
2022-07-29,897774.3966729929
2022-08-01,896497.0864664163
2022-08-02,885502.7480374022
2022-08-03,896882.5324118934
2022-08-04,894540.6012849978
2022-08-05,896635.6761720199
2022-08-08,897430.2713870449
2022-08-09,895841.4012721851
2022-08-10,910467.6334846823
2022-08-11,911210.0173237132
2022-08-12,922809.8048479704
2022-08-15,926947.8500177509
2022-08-16,933496.1602216582
2022-08-17,928803.2223708129
2022-08-18,929314.8725012079
2022-08-19,921325.2507133685
2022-08-22,903746.2463063655
2022-08-23,899536.3437622621
2022-08-24,901166.5345366508
2022-08-25,909982.9966019897
2022-08-26,882420.3549626165
2022-08-29,877379.7683587316
2022-08-30,868957.7210641939
2022-08-31,861292.3116346485
2022-09-01,865282.7448876362
2022-09-02,856044.5344886034
2022-09-06,851312.037711775
2022-09-07,863228.8838884128
2022-09-08,868510.8279880736
2022-09-09,878820.8130133385
2022-09-12,885097.389164271
2022-09-13,850209.6729848838
2022-09-14,851032.9364094269
2022-09-15,846296.8627796419
2022-09-16,842486.5534352469
2022-09-19,847878.3656451281
2022-09-20,839310.6817108035
2022-09-21,825030.2297460701
2022-09-22,822102.8158374507
2022-09-23,808811.3370222966
2022-09-26,799802.2053700841
2022-09-27,796363.0879452047
2022-09-28,811362.3805824933
2022-09-29,798840.0319247473
2022-09-30,785170.5277993546
2022-10-03,806091.1136558373
2022-10-04,828653.047932499
2022-10-05,827492.706156191
2022-10-06,818009.881723616
2022-10-07,800785.6263897007
2022-10-10,798218.780613457
2022-10-11,799211.2238442628
2022-10-12,798436.5949427569
2022-10-13,821065.2615506992
2022-10-14,810025.4917505492
2022-10-17,825086.0179750208
2022-10-18,834324.2283740534
2022-10-19,831591.1390141231
2022-10-20,829125.0857510457
2022-10-21,849597.1235695925
2022-10-24,860996.8208717378
2022-10-25,870211.5414901597
2022-10-26,870276.2985444344
2022-10-27,875583.6543158469
2022-10-28,898230.0984168422
2022-10-31,894708.1261294447
2022-11-01,892528.2744887637
2022-11-02,878712.8134083939
2022-11-03,874708.1795153097
2022-11-04,885695.4710101407
2022-11-07,897278.8690738353
2022-11-08,906403.5811238257
2022-11-09,888721.8089266506
2022-11-10,921561.216236777
2022-11-11,922449.2367155949
2022-11-14,916677.4773043342
2022-11-15,918214.2428149299
2022-11-16,917145.6713405991
2022-11-17,916940.4560754449
2022-11-18,922389.9784054176
2022-11-21,921148.7570435975
2022-11-22,932022.6035752513
2022-11-23,934645.451123906
2022-11-25,938826.7388443562
2022-11-28,925226.3694141703
2022-11-29,925310.2919939887
2022-11-30,945461.6409213332
2022-12-01,940138.2160045485
2022-12-02,941091.2604669661
2022-12-05,927895.2355784759
2022-12-06,918307.6680787228
2022-12-07,918350.9106293927
2022-12-08,923368.2209961268
2022-12-09,915030.950455248
2022-12-12,929478.8738785632
2022-12-13,932310.6737029237
2022-12-14,928421.4066641575
2022-12-15,907534.9343754255
2022-12-16,899833.4894869885
2022-12-19,895380.2541701033
2022-12-20,897900.3873144508
2022-12-21,912298.1280246429
2022-12-22,902758.928118602
2022-12-23,907581.7003931869
2022-12-27,908610.2324687493
2022-12-28,898610.3125475467
2022-12-29,908042.8474952687
2022-12-30,906032.4425901753
2023-01-03,
